activite_branches|activite_branches_reduite|activite_insee_1949|activite_sgf_1936|adresse|affiliation|annee_creation|annee_disparition|annee_fusion|annuaire_1890|annuaire_1897|annuaire_1914|caran|cas_problematique|Cgpf_1930|cgpf_groupe|chgt_dpt|chgt_type|commerce_en_gros|commune|cote_dossier|cote_registre|date_creation|date_declaration|date_dissolution|departement|dissolution|duree_syndicat|effectif_creation|effectifs_evolution|effectifs_sources|fusion|id_coac|lieu_conservation_dossier|lieu_conservation_registre|nouvelles|numero|numero_syndicat|numro_synd_absorbant|observations|pk|present_01_01_1890|present_01_01_1900|present_01_01_1914|present_01_01_1920|present_01_01_1926|present_01_01_1930|present_01_01_1936|present_01_01_1937|present_théorique_01_01_1890|present_théorique_01_01_1900|present_théorique_01_01_1914|present_théorique_01_01_1920|present_théorique_01_01_1926|present_théorique_01_01_1930|present_théorique_01_01_1936|present_théorique_01_01_1937|section|theorique_sect_01_01_1884|theorique_sect_01_01_1890|theorique_sect_01_01_1900|theorique_sect_01_01_1914|theorique_sect_01_01_1920|theorique_sect_01_01_1926|theorique_sect_01_01_1930|theorique_sect_01_01_1936|theorique_sect_01_01_1937|titre_du_syndicat_modifie_1|titre_du_syndicat_modifie₂|titre_du_syndicat_originel|type_syndicat_1|type_syndicat2|zone_couverte_origine|nature_du_syndicat|titre_du_syndicat_copie|archivage|lieu_conservation_registre_copie|divers|notes|activite|activite_insee_49_00_000|cas_douteux|fichier_complement|present_theorique_01_01_1946
Textile|Industrie|47|4F|"7 rue de la République (1879-1897)
1 rue du Bât-d'Argent (1914)"||1867|1917||oui|Oui|Oui||||||||Lyon|10M299|||9/9/1884|1/1/1917|69||50||"Fin 1881 : 200
1890 : 190
1897 : 155
1914 : 168"|10M299||CoAc13588|AD||||69007||"1877 : pas autorisée mais tolérée
Tolérée au 1/1/ 1882

"|854||||||Non|Non|non||||||||||Oui|oui|oui|Oui|Non|Non|Non|Non|non|||Association de la Fabrique lyonnaise|industriel|syndicat professionnel|commune (zones limitrophes)|||||||||||
|Commerce|75|6A|29 rue Puits Gaillot (1890-1935)||1869|||Oui|Oui|Oui|||Oui|6||||Lyon|||15/12/1869|3/8/1885||69||-1869|82 ou 100|"1/5/1878 : 62
fin 1881: 55
1/1/1890 : 50
1897 : 65
1914 : 64
1935 : 70
1936 : 60
"|10MpF2||||Préfecture||226|69009||"On trouve aussi 1870 pour la date de la création.
Autre appellation : Chambre syndicale de l'Union des marchands de soie de Lyon
autorisation : appartient à une commission distinguée par la chambre de commerce en vertu de l'art. 2 du décret du 22/12/1870

En 182 : G. Cretin archiviste."|855|||||||Oui|oui||||||||||Oui|Oui|Oui|Oui|Oui|Oui|Oui|oui|Oui|Union des marchands de soie et ouvrées de Lyon||Union des marchands de soie de Lyon||syndicat professionnel|commune (zones limitrophes)|||||||||||
BTP|Industrie|33|4Q|"mairie (1890-1897) 
62 rue de la République (1914-1935)"||1870|||Oui|Oui|Oui||||||||Tarare|||21/6/1870|23/2/1885||69||-1870|38|"fin 1880-déb 1881 : 35
1/1/1883 : 35, 
1890 : 55 
1897 :  35 
1914 : 13 
1935 : 17
1936 : 17"|10MpF1|Oui||AD|Préfecture||267|69010|31|"Autorisation préfectorale
Date de création donnée dans les états de 1876, 1883, 1885, 1886 : 21/6/1870  Mais état au 6/2/1889 donne création en avril 1871(10MpF2)
10 M 235 : date de création 11/7/1897 /
Après la fusion (en ? ) avec le syndicat de Lyon, il devient probablement une section."|856|||||||Oui|oui|||||||||Oui|Oui|Oui|Oui|Oui|Oui|Oui|Oui|oui|Oui|||Chambre syndicale des entrepreneurs de travaux de bâtiment du canton de Tarare||syndicat professionnel|canton (zones limitrophes)|||||||||||
BTP|Industrie|33|4Q|||1872|||Non|Non|Non||||||||Lyon||||||69||-1872||||||AD||||69011||Création peut être avant le 30 juillet 1872. Ne semble pas avoir une longue activité.|857|||||||Non|non||||||||||Oui|Non|Non|Non|Non|Non|Non|Non|Non|||Maîtres poêliers||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Commerce|77|6A|"19 rue du Bât-d'Argent (1872)
10 rue Centrale (1873)
12 rue Madame"||1872|1874||Non|Non|Non||||||||Lyon|||1/9/1872|4/9/1872|1874|69||2||||||AD||||69012||"1/9/1872 AG des restaurateurs de la ville de Lyon “au siège de la société des ouvriers de la société des ouvriers teinturiers dela ville de Lyon, 37 montée Lafayette. Objet : “former une association tendant à sauvegarder mutuellement tous leurs intérêts à l'encontre des mauvais payeurs et notamment des adroits filous et faiseurs de dupes”.
Projet de statut d'une association qui se nommerait “Société de Prévoyance des restaurateurs de la ville de Lyon”.
Dissolution d'elle-même, faute de fonds, “les membres ne versaient pas régulièrement leurs cotisations” (note commissaire spécial, 24/9/1876)
Plusieurs listes de membres dans le dossier"|858|||||||Non|non||||||||||Non|Non|Non|Non|Non|Non|Non|Non|Non|||Société de prévoyance des restaurateurs de Lyon||syndicat professionnel|commune (zones limitrophes)|||||"Date de déclaration = date de demande au préfet.
Adresse est celle du président"||||||
|Autres services|89|8A|24, rue Saint-Marcel||1872|||Non|Non|Non||||||||Lyon|||24/7/1872|||69||-1872|90|"fin 1880-déb. 1881 : 80
fin 1881 : 90 (10 MpF2 Etat au 1/1/1882)"|10MpF1|||AD||||69013||"22/11/1873 (10MpF2 : Etat au 1/1/1882)
Aucun acte. Statuts déposés à la préfecture (modifiés en 1876)"|859|||||||Non|non||||||||||Oui|Non|Non|Non|Non|Non|Non|Non|Non|||Chambre syndicale des patrons perruquiers, coiffeurs et barbiers de l'agglomération lyonnaise||syndicat professionnel|commune (zones limitrophes)|||||||||||
Sidérurgie, Métallurgie|Industrie|20a|4L|"6 quai de Retz (1876)
1 rue de la Préfecture (1890-1897)
72 rue Pierre Corneille (1914)
36 rue Molière (1935)"|Union des chambres syndicales lyonnaises (1886)|1872|||Oui|Oui|Oui|||Oui|12||||Lyon|||28/9/1872|4/11/1884||69||-1872|75|"1876 : 70
fin 1880-déb 1881 : 54
fin 1881 : 60
1890 : 76
1897 : 90
1914 : 160
1935 : 301
1936 : 374"|10MpF1|||AD|Préfecture||183|69014||"création : mai 1872
Autorisation accordée en mai 1872 et renouvelée en 1879. Statut déposés à la Préfecture et modifiés en 1879.
1897, 1914 : bibliothèque"|860|||||||Oui|oui||||||||||Oui|Oui|Oui|Oui|Oui|Oui|Oui|oui|Oui|chambre syndicale des industries de la métallurgie du Rhône et de la région||Association métallurgique du département du Rhône. Chambre syndicale des constructeurs-mécaniciens, chaudronniers, fondeurs et des industries qui s'y rattachent. ||syndicat professionnel|département|||||||||||
Agroalimentaire|Commerce|69|6A|"13 rue Constantine (1890-1897)
33 rue Centrale (1914-1935)"||1872|||Oui|Oui|Oui|||Oui|2|||oui|Lyon|||24/7/1872|16/12/1884||69||-1872||"1/12/1876 : 90
1/5/1878 : 80
fin 1881 : 196
1890 : 215
1897 : 210
1914 : 245
1935 : 380 
1936 : 262"|10MpF 2|||ADR|Préfecture||251|69015||"1890 : conférences
même dossier que 2727"|861|||||||Oui|oui||||||||||Oui|Oui|Oui|Oui|Oui|Oui|Oui|oui|Oui|Chambre syndicale du commerce en gros des vins, spiritueux et liqueurs de Lyon et du département du Rhône||Chambre syndicale du commerce en gros des vins et spiritueux de Lyon et du département du Rhône||syndicat professionnel|département|||||syndicat 2727 : Chambre syndicale régionale Rhône-Alpes du commerce en gros des vins, spiritueux et sirops, création : 1/1/1973 ; déclaration : 13/12/1972 (sic !)||||||
Chimie, caoutchouc|Industrie|35 / 36|4C|"18 passage des Terreaux (1890)
23 passage des Terreaux (1897)
9 rue de Constantine (1914)
27 rue du Bât d'Argent
9 rue Lanterne "||1873|||Oui|Oui|Oui||||||||Lyon|||3/5/1873|27/8/1885||69||-1873||"1/1/1883 : 74
1/1/1885 : 83
1/1/1890 : 117
1897 : 130
1914 : 330"|10MpF2|||AD|AD|||69016||"1897 : bibliothèque, service de contentieux.
Disparition au cours des années 1930 à 1936"|862|||||||Non|non||||||||||Oui|Oui|Oui|Oui|Oui|Oui|Oui|non|Non|Syndicat commercial et industriel de Lyon (produits chimiques, denrées coloniales, droguerie, pâtes alimentaires) (1890, 1897, 1914)||Syndicat commercial et industriel de Lyon (produits chimiques,  droguerie, peinture et couleurs)||syndicat professionnel|commune (zones limitrophes)|||||||||||
Bois|Industrie|53|4J|"8 rue des archers (fin 1881-1914)
72 rue Pierre Corneille (1936)"||1873|||Oui|Oui|Oui|||Oui|26||||Lyon||||23/3/1889||69||-1873|20|"fin 1880-déb 1881 : 44
fin 1881 : 51
1890 : 52
1897 : 60
1914 : 125
1935 : 130
1936 : 216"|10MpF1|||ADR|Préfecture||16|69017||"Existe encore en 1994
création : juillet 1873
Aucun acte administratif, seulement PV de la 1er AG
Adresse fin 1880 : 8, rue des Archers 
réorganisation en 1880
1897 : concours d'apprentissage
"|863|||||||Oui|oui||||||||||Oui|Oui|Oui|Oui|Oui|Oui|Oui|oui|Oui|||Chambre syndicale de l'ameublement de Lyon et de la région||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Autres services|89|8A|"13 rue Quatre chapeaux (1890-1897)
7 rue Jean de Tournes (1914-1935)"||1873|||Oui|Oui|Oui||||||||Lyon|||22/11/1873|1/5/1889||69||-1873||"1890 : 150
1897 : 109
1914 : 330
1935 : 590
1936 : 950 (220 f)"|||||Préfecture||84|69018||"1897 : bibliothèque, enseignement professionnel, commission de conciliation.
1914 : bureau de placement ; cours professionnels."|864|||||||Oui|oui||||||||||Oui|Oui|Oui|Oui|Oui|Oui|Oui|oui|Oui|"Chambre syndicale des maîtres artisans coiffeurs de Lyon et de la région
Chambre syndicale des maîtres artisans et patrons coiffeurs de Lyon et du Rhône"|"chambre syndicale des coiffeurs de Lyon (1890)
chambre syndicale patronale des coiffeurs de la ville de Lyon et de la région (1897)"|chambre syndicale des coiffeurs de Lyon (1890)|artisan|syndicat professionnel|commune (zones limitrophes)|||||||||||
Imprimerie, presse|Industrie|55|4E|"Pas de siège social au 1/1/1882
27 rue de l'Abre-Sec (1897)
3 rue Sainte-Marie des Terreaux (1914)
46 rue de l'Hôtel de ville (1936)"||1873|||Oui|Oui|Oui|||Oui|18||||Lyon|10 Mp F2|||28/8/1889||69||-1873|42|"1881 : 41-45
1890 : 38
1897 : 120
1914 : 94
1935 : 65
1936 : 52"||||AD|Préfecture||153|69019||"Création septembre 1873
Réorganisation 10 juillet 1881 (l'annuaire de 1890 indique 1881 comme date de création, cf aussi 10 Mp F2) et 1er  juillet 1889. 
1897 : caisse de secours ; bibliothèque"|865|||||||Oui|oui||||||||||Oui|Oui|Oui|Oui|Oui|Oui|Oui|oui|Oui|Union des maîtres imprimeurs lithographes de la ville de Lyon (1881)|Syndicat des maîtres imprimeurs de Lyon et des industries se rattachant à l'imprimerie (18 mai 1893)|Syndicat des maîtres imprimeurs lithographes de la ville de Lyon||syndicat professionnel|commune (zones limitrophes)|||||||||||
Bijouterie...|Industrie|56|4M|"3 place d'Albon (1890)
2 rue des archers"||1874|1891||Oui|Non|Non||||||||Lyon|||30/4/1874|2/3/1886|"
"|69|Oui|17|35|"1876 : 39
1/5/1878:42
fin 1880-déb 1881 : 42
fin 1881 : 40
fin 1884 : 32
fin 1885 : 25
1/1/1891 : 28"|10MpF2|||AD||||69020||"création : 1874
Aucun acte adm. Statuts déposés à la préfecture.
A périclité en 1885
Dissolution en février 1891 (AG) après décès Pdt et Trésorier"|866|||||||Non|non||||||||||Oui|oui|non|Non|Non|Non|Non|Non|non|||Chambre syndicale de la bijouterie, orfèvrerie, horlogerie et joaillerie de la ville de Lyon||syndicat professionnel|commune (zones limitrophes)|||||||||||
Agroalimentaire|Commerce|69|6A|"36, quai Saint-Vincent
2 rue Paul Bert (1890)
2 rue Paul Bert (1887-1890)"||1874|1892||Oui|Non|Non|||||||oui|Lyon|||14/2/1874|||69|Oui|18|116|"vers 1880-1881 : 100
fin 1881 : 80
fin 1888 : 70
1890 : 70"|10MpF1 et F2|||AD||||69021||"“En fondant cette chambre syndicale, les organisateurs avaient en vue d'avoir à faire établir dans le centre de la ville de Lyon un vaste marché aux grains, mais n'ayant pu réussir dans leur entreprise, il s'en est suivi un certain désintéressement de la plupart des adhérents, lesquels bien que cotisants ne s'occupent presque plus des intérêts de l'association”. Mais au début de février 1883 le fonctionnement paraît encore régulier.
“Tombée en désuétude” au cours de 1883. Ne fonctionne donc plus au début de 1884 : “ sa caisse est entièrement vide., le bureau se considèrent (sic) comme ayant été relevés de leurs fonctions” (1/1/1884)
A - 1890 : création indiquée en 1887

date de création : 2/3/1887
date de déclaration : 14/4/1887
5/11/1895 : le syndicat, sans être officiellement dissous, ne fonctionne plus depuis environ 3 ans. 

Objectif de la création : obtenir la mise en place d'un vaste marché aux grains au centre de Lyon. Echec => désintérêt des membres pour la chambre syndicale."|867|||||||Non|non||||||||||Oui|oui|Non|Non|Non|Non|Non|Non|Non|Chambre syndicale des négociants en grains, graines et fourrages de Lyon et du Sud-Est (en 1887)||Chambre syndicale des négociants en grains, farines et fourrages de la ville de Lyon||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Banques et assurances|82|6C|4, place Miséricorde||1874|1876||Non|Non|Non||||||||Lyon||||8/4/1874||69|Oui|2|25|1/12/1876 : 25|10 MpF2|||AD||||69022||"But : s'occuper en commun de tous les intérêts généraux relatifs à la propriété
Nommé aussi Syndicat des régisseurs de Lyon
Dissolution fin 1876 ou début 1877"|868|||||||Non|non||||||||||Non|Non|Non|Non|Non|Non|Non|Non|Non|||Syndicat des régisseurs patentés de Lyon||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Commerce|80|6A|2 rue de la Poulaillerie (1938)||1875|||Non|Non|Non||||||||Lyon|||1/5/1875|26/8/1875||69||-1875||"1/1/1891 : 310
1894 : 309"||||AD||||69023||"Réorganisé en 1885
Plus considéré comme un syndicat en 1892 car ses membres appartiennent à toutes les branches de l'industrie et du commerce).
Annuaire Fournier.
Membre de l'Union des chambres syndicales lyonnaises : existe encore en 1939. 
Appartenance ne semble semble pas exclusif d'un autre syndicat "|869|||||||Non|non||||||||||Oui|Oui|Oui|Oui|Oui|Oui|Oui|Oui|Oui|||Chambre syndicale des négociants||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Industrie|24|4L|||1876|||Non|Non|Non||||||||Lyon||||||69||-1876||||||AD||||69024||"Existe au plus tard en février 1876 (demande d'autorisation de réunion)
Appellations diverses : syndicat, corporation"|870|||||||Non|non||||||||||Oui|Non|Non|Non|non|non|non|Non|Non|||Patrons couteliers ||syndicat professionnel|commune (zones limitrophes)|||||||||||
Textile|Industrie|47|4F|34, rue de Précy (chez M. Goyte)||1877|1880||Non|Non|Non||||||||Lyon||||||69||3|32||10MpF1|||AD||||69025||"fondation 1877
Ne fonctionne plus depuis l'été 1880

“Cette chambre syndicale n' a jamais bien fonctionné et s'est dissoute il y a quatre mois, les adhérents peu nombreux n'assistant plus aux réunions et ne payant plus les cotisations” observation du commissaire spécial le 6/11/1880"|871|||||||Non|non||||||||||Non|Non|Non|Non|Non|Non|Non|Non|Non|||Chambre syndicale des maîtres mouliniers de la ville de Lyon||syndicat professionnel|commune (zones limitrophes)|||||||||||
Agroalimentaire|Commerce|69|6A|chez le président||1878|1896||Oui|Non|Non|||||Oui|Oui|oui|Lyon||||26/7/1893||69||18||||||AD||||69026||"Date de création : mars 1878 à Paris sous le titre initial de “Syndicat général des chambres syndicales vinicoles de France”
Date de déclaration à Paris (où se trouvait le siège social): juillet 1884 
Considéré comme union de syndicats
1896 : ne compte plus comme Fédération pour le département du Rhône après transfert du siège chez le nouveau président à Versailles."|872|||||||Non|non||||||||||Oui|Oui|Non|Non|Non|Non|Non|Non|Non|Syndicat national du commerce en gros des vins et spiritueux de France||Chambre syndicale des négociants en vins et spiritueux||Fédération/Union (national)|commune (zones limitrophes)|||||transfert du siège hors du département ||||||
Construc. méca., trans. de l'acier|Industrie|29|4L|"58 rue de la République
20, rue port du Temple"||1878|||Oui|Non|Non|||Oui|19||||Lyon||||10/10/1888||69||-1878|60|"fin 1880-déb 1881 : 80
fin 1881 : 76
1890 : 70"|10MpF1|||AD||||69027||"création : 1878
pas d'acte administratif. 
Apparaît comme un syndicat mixte au début des 1880s mais reste ensuite dans les syndicats patronaux."|873|||||||Non|non||||||||||Oui|oui|non|non|non|non|non|Non|Non|||Chambre syndicale de l'horlogerie de Lyon||syndicat professionnel|commune (zones limitrophes)|||||||||||
Textile|Industrie|48|4F|"9 rue du Jardin des plantes (1897-1914)
24 rue Saint-Marcel
10 rue d'Ivry"||1878|1936||Non|Oui|Oui||||||||Lyon||||28/5/1884||69||58|25|"1/1/1890 : 60
1897 : 80
1914 : 54"|10MpF2|||AD|AD|||69028||"Création : 1878
Cotisations ont cessé d'être versées en 1879.
Réorganisation en 1884
Disparition au cours des années 1930 à 1936"|874|||||||Non|non||||||||||Oui|oui|Oui|Oui|Oui|Oui|Oui|Oui|Non|chambre syndicale des chefs d'ateliers guimpiers (fileurs d'or) de la ville de Lyon (1897)||Chambre syndicale des maîtres guimpiers et fileurs d'or de la ville de Lyon||syndicat professionnel|commune (zones limitrophes)|||||||||||
Agroalimentaire|Commerce|69|6A|22 rue Mercière||1879|1882||Non|Non|Non||||||||Lyon|10Mp F2||1/10/1879||11/6/1882|69|Oui|3|430|"fin 1880-déb 1881 : 300
fin 1881 : 50, sur le point de se dissoudre (Etat au 1/1/1882)"|10MpF2|||AD||||69029||"FS octobre 1879 : but “ surveiller l'application des arrêtés de police dont l'infraction par les marchands ambulants et revendeurs est nuisible aux commerçants patentés et à domicile fixe de la ville de Lyon”.
Pas de grande influence
`Cause dissolution : indifférence de ses membres et non paiement des cotisations.
"|875|||||||Non|non||||||||||Non|Non|Non|Non|Non|Non|non|Non|Non|||Chambre syndicale des marchands de comestibles, fruitiers, épiciers de la ville de Lyon||syndicat professionnel|commune (zones limitrophes)|||||||||||
BTP|Industrie|32|4R|4 rue de la Barre, café Bardin (1884-1890)||1880|1890||Oui|Non|Non||||||||Lyon|||8/9/1880|29/7/1889|8/12/1890|69|Oui|10|31|"Fin 1881 : 46
fin 1883 : 45
1890 : 25"|10 MpF2|||AD||||69031||"F S janvier 1890 : “Le but poursuivi par cette ch synd est de rendre uniforme le prix des salaires des ouvriers, de se donner mutuellement  des indications sur les diverses qualités  de pierres, marbres etc. et sur leur prix et de s'entraider pour l'exploitation des diverses entreprises qui pourraient se présenter. 
Mais son influence se fait principalement sentir dans les questions litigieuses qui se présentent entre fournisseurs , entrepreneurss et patrons et entre patrons et ouvriers."|876|||||||Non|non||||||||||Oui|Oui|Non|Non|Non|Non|Non|Non|Non|Chambre syndicale des maîtres ouvriers sculpteurs, marbriers et tailleurs de pierres de la ville de Lyon||Chambre syndicale des maîtres ouvriers sculpteurs, marbriers et tailleurs de pierres de la ville de Lyon||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Autres services|91|7|"90 cours Lafayette (1890)
144 rue Moncey (1897)
4 rue du Mulet (1914)
6 rue Thomassin (1935)
74 avenue Thiers (1936)"||1880|||Oui|Oui|Oui|||Oui|8||||Lyon|"10MpF1
10MpF2"||10/10/1880|||69||-1880|45|"1880-déb 1881 : 60
fin 1881 : 59
1890 : 43
1897 : 30
1914 : 18 dont 10 f
1935 : 31
1936 : 20 fin "|10MpF1|||AD|Préfecture||145|69032||"10MpF2, Etat au 1/1/1882 donne création : 10/9/1880
Pas encore déclarée fin 1880-déb. 1881
registre préfecture donne création : 29/9/1880
1914 : bibliothèque"|877|Oui|Oui|Oui||||Oui|non||||||||||Oui|Oui|Oui|Oui|oui|oui|oui|oui|Non|||Chambre syndicale des herboristes du département du Rhône et des départements limitrophes.||syndicat professionnel|département|||||||||||
Textile|Industrie|47|4F|12, rue Sainte-Catherine||1880|1884||Non|Non|Non||||||||Lyon||||||69|Oui|4|90|fin 1881 : 70|10MpF1|||AD||||69033||"création : octobre ou novembre 1880
Aucun acte administratif. Statuts déposés.
dissolution : novembre 1884 pour se fondre dans une nouvelle organisation mixte créée le même mois, “Syndicat professionnel de la passementerie lyonnaise et similaires des chefs d'ateliers, ouvriers et ouvrières auxiliaires”.
"|878|||||||Non|non||||||||||Non|Non|Non|non|Non|Non|Non|Non|Non|||Chambre syndicale des chefs d'ateliers passementiers||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Autres services|89|8A|"2 quai des Célestins (1883-1890) 
25 rue Tupin (1894-1897)
23 quai de l'hôpital (1905)
78 passage de l'Argue (1907)
Buvette marseillaise, place de la République (1911-1914)
78 passage de l'Argue, buvette marseillaise (1925)
Quai Fulchiron chez le Secrétaire (1929)
quai Jaÿr (1935)
1 quai des Célestins (1936)"||1880|1949||Oui|Oui|Oui||||||||Lyon|||15/8/1880|20/8/1880||69|Oui|69|74|"fin 1880-déb. 1881 : 80
fin 1881 : 69
déb 1884 : 67
déb 1885 : 55
déb 1886 : 56
1890 : 56
1894 : 54
1897 : 70
1905 : 64 h, 18 f
1912 : 62 h, 18 f
1913 : 60 h, 15 f
1919 : 29 h, 4 f
1925 : 21 h, 3 f
1929 : 16 
1935 : 10
1936 : 9 h, 2 f"|10 MpF1|||ADR|Préfecture||30|69034||"création avril 1880 (10 MpF1)
Adresse fin 1880 :2, quai des célestins (café Lassauzet) 
1897 : caisse de secours
Pas de dépôt ab 1914
Fonctionne normalement jusqu 1936
1949 : dissous réf dép min 27/4/1949. Mais en fait pas de dépôt de bureau depuis 1914 (AML 1101 Wp 47)

AML 1101 Wp 47 ; Liste adhérents en 1914"|879|||||||Oui|oui||||||||||Oui|Oui|Oui|Oui|Oui|Oui|Oui|oui|Oui|Chambre syndicale des maîtres de bâteaux à laver de l'agglomération lyonnaise (1914)||Chambre syndicale des maîtres de bâteaux à laver de la ville de Lyon||syndicat professionnel|commune (zones limitrophes)|||||AML 1101 Wp 47||||||
|Commerce|77|6A|"20 place Bellecour (1890)
15 rue Claudia (1897)
4, rue de la Barre"|"Union des chambres syndicales lyonnaises jusqu'en 1892 ou 1893
 Alliance des chambres syndicales lyonnaises (ab 1894)
Est à nouveau adhérente de L'union des chambres syndicales lyonnaises en 1903 (mais depuis quand ?)"|1881|1912||Oui|Oui|Non||||||||Lyon|||2/6/1881|10/11/1885||69||31|125|"fin 1881:144
début 1883 : 150
début 1884 : 115
mars 1885 : 180
déb 1886 : 350
déb 1890 : 70
1892 : 90
1894 : 160
1897 : 170
1899 : 210
1906 : 206
"|"10MpF1/2/70
"|Oui||AD||||69036|42|"Création pourrait être de mai 1881
FS 1883 : Cette chambre syndicale  “ne répond à aucun besoin, ses membres ayant des intérêts opposés résultant de la concurrence, et elle est destinée à tomber dans un délai prochain car la  plupart des membres n'assistent plus aux assemblées et refusent ou négligent de payer leur cotisation”.
1886 : cette chambre syndicale fonctionne régulièrement
1890 : bureau de placement
1897 : bureau de placement ; société de secours mutuels.
1898 : cette chambre syndicale fonctionne très bien
Fusion avec le syndicat des petits patrons cafetiers, restaurateurs et hôteliers pour former le syndicat des débitants de boissons restaurateurs, hôteliers. "|880|||||||Non|non||||||||||Oui|Oui|Oui|Non|Non|Non|Non|Non|Non|Chambre syndicale des restaurateurs, limonadiers et hôteliers de la ville de Lyon et du Sud-Est (1897)||Chambre syndicale des hôteliers restaurateurs, cafetiers, limonadiers de la ville de Lyon et de la banlieue||syndicat professionnel|commune (zones limitrophes)|||||||||||
Agroalimentaire|Commerce|69|6A|"108 rue Sainte-Elisabeth (1882)
5 rue Terraille (1890)
33 rue Molière (1897)
18 place Morand (café Bobillon)"|"Fédération de l'alimentation
Union des chambres syndicales "|1881|1911||Oui|Oui|Non||||||||Lyon|||11/1/1881|10/11/1885||69||30||"Réunion du 19/3/1882 : 38 à 45 présents
1890 : 35
novembre 1896 : 60
1906 : 110
1907 : 80
"||Oui||AD||||69037||"2 dossiers indép en 10 MP F 69
Réorganisation les 26/9/1886 et 1/3/1887. Dans un des dossiers la déclaration est datée du 26/9/1886
Président en 1898 : Robert François !
Constitution : janvier 1881
Réorganisation : 1/3/1887
Dissolution : 1894
Reconstitution : 27/9/1896
Fusion en 1910 ou 1911 avec syndicat inconnu
F S janvier 1883 : “Aux termes de son réglement intérieur toute concurrence entre sociétaires est rigoureusement interdite, soit en ville, soit à la campagne”
FS janvier 1890 : “Le but de ce syndicat est de renseigner ses membres sur toutes les questions se rattachant à leur commerce, afin de luttre avec avantage contre les grandes laiteries, et de créer une caisse de secours mutuels(...) fonctionne péniblement.”
1905 : création d'une assurance mutuelle contre les accidents du travail corporatif"|881|||||||Non|non||||||||||Oui|Oui|Oui|Non|Non|Non|Non|Non|Non|Chambre syndicale des marchands de lait de Lyon||Chambre syndicale des laitiers de Lyon||syndicat professionnel|commune (zones limitrophes)|||||||||||
Textile|Industrie|48|4F|18 rue Sainte Elisabeth||1881|||Non|Non|Non||||||||Lyon||||24/6/1881||69||-1881|126||10MpF1|||AD||||69039|||882|||||||Non|non||||||||||Oui|non|non|non|non|non|non|Non|Non|||Chambre syndicale des graveurs pour étoffes et papiers peints||syndicat professionnel|commune (zones limitrophes)|||||||||||
Construc. méca., trans. de l'acier|Industrie|26 - 51|4L - 4I|"8 rue des Archers (1890)
72 rue Pierre Corneille (1897-1935)"||1881|||Oui|Oui|Oui|||Oui|11||||Lyon|||12/6/1881|30/3/1889||69||-1881|80|"fin 1881 : 70 (10 MpF2)
1/1/1890 : 66
1897 : 70
1914 : 140
1935 : 35
1936 : 40"|10MpF1|||AD|Préfecture||57|69041|||883|||||||Oui|oui||||||||||Oui|Oui|Oui|Oui|Oui|Oui|Oui|oui|Oui|||chambre syndicale des patrons carrossiers charrons selliers harnacheurs bourreliers peintres et des industries se rattachant à la voiture de la ville de Lyon||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Industrie|42|4B|3, rue sainte-Marie-des-Terreaux||1882|1886||Non|Non|Non||||||||Lyon||||12/5/1882||69||4|12|30/6/1882 : 22|10MpF2|||ADR||||69042||"création : février 1882
dissolution : mai 1883 (par suite du désintéressement de ses membres)
Tentative de recréation en 1886 qui aboutit à une nouvelle dissolution"|884|||||||Non|non||||||||||Oui|Non|Non|Non|Non|Non|Non|Non|Non|||Chambre syndicale des eaux minérales gazeuses naturelles et artificielles||syndicat professionnel|commune (zones limitrophes)|||||||||||
Agroalimentaire|Commerce|69|6A|"Passage des Terreaux (1890)
13 rue Sainte-Catherine (1897-1914)"||1882|||Oui|Oui|Oui|||Oui|2||||Lyon|||1/1/1882|8/6/1889||69||-1882||"1890 : 450
1897 : 400
1914 : 527
1935 : 530
1936 : 520"|||||Préfecture||45|69043||"Réorganisation en mai 1889 sous le nom de Syndicat professionnel des marchands bouchers de la ville de Lyon
Pourrait avoir pris la suite de la chambre syndicale des patrons bouchers de la Ville de Lyon après la dissolution de ce syndicat.
1914 : bibliothèque, caisse de retraites."|885|||||||Oui|oui||||||||||Oui|Oui|Oui|Oui|Oui|Oui|Oui|Oui|Oui|Syndicat professionnel de la boucherie lyonnaise commerçants et artisans||Syndicat professionnel des marchands bouchers de la ville de Lyon (1889)|artisan|syndicat professionnel|commune (zones limitrophes)|||||||||||
